"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Triturus pygmaeus",-8.250817,38.477701,16.4301872253418,11.1885833740234,44.5418663024902,489.808837890625,31.2224998474121,6.10325002670288,25.1192493438721,11.6109580993652,22.4563331604004,22.7579154968262,10.7537498474121,627,104,4,62.3309860229492,278,28,35,264
"Triturus pygmaeus",-5.655592,37.889299,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-4.008637,40.596608,12.1525621414185,10.1035833358765,35.4766883850098,666.389221191406,28.6949996948242,0.215499997138977,28.4794998168945,8.27095794677734,20.7901248931885,20.894416809082,4.70516633987427,431,53,16,34.1168174743652,144,62,66,116
"Triturus pygmaeus",-4.184107,40.573434,10.3062286376953,9.15654182434082,33.5343055725098,659.293334960938,26.4177494049072,-0.887250006198883,27.3050003051758,6.61350011825562,18.9762916564941,19.0079574584961,3.09708333015442,554,66,19,36.1593704223633,191,71,80,156
"Triturus pygmaeus",-9.264849,38.969076,15.5954580307007,7.4647912979126,40.3633155822754,384.751800537109,25.8540000915527,7.3600001335144,18.4939994812012,11.8416662216187,20.2026252746582,20.6371250152588,11.1135416030884,737,115,7,61.5916976928711,325,37,44,307
"Triturus pygmaeus",-8.326264,39.673264,15.3572082519531,9.91266632080078,41.7371063232422,490.14306640625,28.878999710083,5.12874984741211,23.7502498626709,9.66583347320557,21.4469165802002,21.6803741455078,9.66583347320557,883,129,9,56.8657722473145,364,52,59,364
"Triturus pygmaeus",-4.672289,37.948057,17.14621925354,13.0507707595825,41.4612922668457,651.529479980469,35.1132507324219,3.63625001907349,31.4770011901855,10.4575834274292,25.4244594573975,25.5792503356934,9.68516635894775,540,87,3,61.9400520324707,239,26,30,211
"Triturus pygmaeus",-4.006463,40.767827,9.05618762969971,8.26041603088379,31.9712677001953,643.449890136719,24.2962493896484,-1.54075002670288,25.8369998931885,5.59320831298828,17.5593757629395,17.5593757629395,2.05304169654846,738,93,21,39.6787109375,261,86,86,221
"Triturus pygmaeus",-4.070567,40.625599,12.1525621414185,10.1035833358765,35.4766883850098,666.389221191406,28.6949996948242,0.215499997138977,28.4794998168945,8.27095794677734,20.7901248931885,20.894416809082,4.70516633987427,431,53,16,34.1168174743652,144,62,66,116
"Triturus pygmaeus",-4.019979,40.606237,12.1525621414185,10.1035833358765,35.4766883850098,666.389221191406,28.6949996948242,0.215499997138977,28.4794998168945,8.27095794677734,20.7901248931885,20.894416809082,4.70516633987427,431,53,16,34.1168174743652,144,62,66,116
